sku,weight,Size,Page,Paper,coverpaper,100,250,500
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",Recycled 80 lb. Dull Text with Matte Finish,100 lb. Gloss Cover (C2S) with Aqueous Coating,890.58,1013.65,1115.04
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,950.46,1056.7,1163.7
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,950.46,1056.7,1163.7
shortruncalendars,null,"8.5"" x 11""","24 pages (4 cover, 20 inside)",Recycled 80 lb. Dull Text with Matte Finish,SELF COVER,908.23,971.82,1062.64
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,986.12,1115.8,1227.04
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1046,1158.85,1275.7
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1046,1158.85,1275.7
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,993.3,1062.75,1162.38
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,100 lb. Gloss Cover (C2S) with Aqueous Coating,986.12,1115.8,1227.04
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1046,1158.85,1275.7
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1046,1158.85,1275.7
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,SELF COVER,993.3,1062.75,1162.38
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,915.43,1040.07,1144.24
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,975.31,1083.12,1192.9
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,975.31,1083.12,1192.9
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,910.83,974.39,1065.78
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,100 lb. Gloss Cover (C2S) with Aqueous Coating,1048.95,1183.12,1300.64
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1108.83,1226.17,1349.3
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1108.83,1226.17,1349.3
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,SELF COVER,1066.6,1141.29,1248.25
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,1134.02,1274.05,1400.38
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1193.9,1317.1,1449.04
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1193.9,1317.1,1449.04
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,1141.2,1221,1335.72
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,100 lb. Gloss Cover (C2S) with Aqueous Coating,1134.02,1274.05,1400.38
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1193.9,1317.1,1449.04
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1193.9,1317.1,1449.04
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",70 lb. Offset Opaque Smooth White,SELF COVER,1141.2,1221,1335.72
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,1051.55,1185.69,1303.78
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1111.43,1228.74,1352.44
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1111.43,1228.74,1352.44
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",80 lb. Gloss Book (C2S) with Aqueous Coating,SELF COVER,1046.95,1120.02,1225.32
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,100 lb. Gloss Cover (C2S) with Aqueous Coating,1207.32,1352.59,1486.25
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,1267.2,1395.64,1534.91
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating Front and Back Cover,1267.2,1395.64,1534.91
shortruncalendars,null,"8.5"" x 11""","28 pages (4 cover, 24 inside)",Recycled 80 lb. Dull Text with Matte Finish,SELF COVER,1224.98,1310.76,1433.86
shortruncalendars,null,"9.5""x12""","16 pages (4 cover, 12 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,100 lb. Gloss Cover (C2S) with Aqueous Coating,717.6,838.6,928.68
shortruncalendars,null,"9.5""x12""","16 pages (4 cover, 12 inside)",100 lb. Gloss Book (C2S) with Aqueous Coating,14 pt. Gloss Coated Cover (C2S) with High Gloss AQ Coating All Sides,721.2,819.4,904.92
